marca,genero,categoria,nombre,precio,url,imagen
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Juicy Cherry Negra,89.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-juicy-cherry-negra,https://nude-project.com/cdn/shop/files/Juicy_Hoodie_Black_back_76bd578b-6a48-4b25-bbf9-2219d4f01ae4_back_600x.jpg?v=1762259066
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Juicy Cherry Blanco Crema,89.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-juicy-cherry-blanco-crema-1,https://nude-project.com/cdn/shop/files/Juicy_Cherry_Hoodie_front_a9939787-b2d6-4a85-ae8e-599f1dfec42c_back_600x.jpg?v=1762259094
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Pearl Negra,89.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-pearl-negra,https://nude-project.com/cdn/shop/files/BACK_PERL_600x.jpg?v=1762944037
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Hot Gris,89.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-gris-hot,https://nude-project.com/cdn/shop/files/HOT_HOODIE_GREY_MELANGE_back_600x.jpg?v=1744383505
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Hot Verde,89.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-hot-verde,https://nude-project.com/cdn/shop/files/HOT_HOODIE_GREEN_back_600x.jpg?v=1755350690
NUDE-PROJECT,Sin clasificar,Sudaderas,Bear Hoodie Marshmallow,89.0,https://nude-project.com/es/collections/sudaderas/products/bear-ink-hood-color-2,https://nude-project.com/cdn/shop/files/4_bbf73534-518e-43d3-9d0a-8fe0acdd7f2b_back_600x.jpg?v=1762338889
NUDE-PROJECT,Sin clasificar,Sudaderas,Playboy Hoodie Marshmallow,99.0,https://nude-project.com/es/collections/sudaderas/products/hoodie-playboy-color-1,https://nude-project.com/cdn/shop/files/4back_eeaf5388-7e1b-408f-8781-bead06a263be_600x.jpg?v=1764937318
NUDE-PROJECT,Sin clasificar,Sudaderas,Playboy Hoodie Red,99.0,https://nude-project.com/es/collections/sudaderas/products/hoodie-playboy-color-2,https://nude-project.com/cdn/shop/files/2back_49622917-89cd-4ab3-8740-976ecbffc350_600x.jpg?v=1764937315
NUDE-PROJECT,Sin clasificar,Sudaderas,Beast Zip-up Hoodie Black,99.0,https://nude-project.com/es/collections/sudaderas/products/beast-zipper-black-fw25,https://nude-project.com/cdn/shop/files/Beast_Zip-up_Hoodie_Black_2_back_600x.jpg?v=1762259464
NUDE-PROJECT,Sin clasificar,Sudaderas,Beast Zip-up Hoodie Grey Melange,99.0,https://nude-project.com/es/collections/sudaderas/products/beast-zipper-grey-melange-fw25,https://nude-project.com/cdn/shop/files/Beast_Zup-up_Grey_Back_600x.png?v=1758041749
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Con Cremallera Beast Gris Oscuro,99.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-con-cremallera-beast-gris-oscuro,https://nude-project.com/cdn/shop/files/BEAST_ZIP-UP_HOODIE_ASH_back_8551e636-8765-48f6-aaa6-e9fce22810f6_back_600x.jpg?v=1762276259
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Sin Capucha Global Soon Negro,79.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-sin-capucha-global-soon-negro,https://nude-project.com/cdn/shop/files/GLOBAL_SOON_CREWNECK_BLACK_front_a273c749-9d6e-4a45-824c-1d7c89b25019_back_600x.jpg?v=1762258630
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Nude Tour Negro Oscuro,89.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-nude-tour-negro-oscuro,https://nude-project.com/cdn/shop/files/Nude_Tour_Black_new_back_600x.png?v=1762259181
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Nude Tour Blanco Crema,89.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-nude-tour-blanco-crema-1,https://nude-project.com/cdn/shop/files/Nude_Tour_Hoddie_Marsh_Back_600x.jpg?v=1755692572
NUDE-PROJECT,Sin clasificar,Sudaderas,Bunny Zip-Up Hoodie Pink,109.0,https://nude-project.com/es/collections/sudaderas/products/mirror-zipper-pink,https://nude-project.com/cdn/shop/files/1front_de07ee8d-df43-435b-a246-d43b475ebebd_600x.jpg?v=1764937385
NUDE-PROJECT,Sin clasificar,Sudaderas,Bunny Zip-Up Hoodie Black,109.0,https://nude-project.com/es/collections/sudaderas/products/mirror-zipper-black,https://nude-project.com/cdn/shop/files/3front_1adcd1d3-9a4c-4c47-a80f-42c838205eda_600x.jpg?v=1764937388
NUDE-PROJECT,Sin clasificar,Sudaderas,Moonlight Sweatshirt Baby Ash,89.0,https://nude-project.com/es/collections/sudaderas/products/silueta-crewneck-ash,https://nude-project.com/cdn/shop/files/sudadera_back_ash_e8ab2376-757f-4565-8a49-c4b1418c8229_600x.jpg?v=1765476467
NUDE-PROJECT,Sin clasificar,Sudaderas,Moonlight Sweatshirt Baby Blue,89.0,https://nude-project.com/es/collections/sudaderas/products/silueta-crewneck-blue,https://nude-project.com/cdn/shop/files/sudadera_celeste_back_600x.jpg?v=1765301604
NUDE-PROJECT,Sin clasificar,Sudaderas,Sport Quarter-Zip Marshmallow,89.0,https://nude-project.com/es/collections/sudaderas/products/sport-halfzip-marshmallow,https://nude-project.com/cdn/shop/files/3_d344a680-02ef-4b62-9f04-1c2aeca9b132_front_600x.jpg?v=1762256727
NUDE-PROJECT,Sin clasificar,Sudaderas,Play With Logo Hoodie Marshmallow,89.0,https://nude-project.com/es/collections/sudaderas/products/play-with-logo-hood-marshmallow,https://nude-project.com/cdn/shop/files/2back_6f48a9d2-4add-4b3a-8335-8237bd169c4f_600x.jpg?v=1767799165
NUDE-PROJECT,Sin clasificar,Sudaderas,Play With Logo Hoodie Black,89.0,https://nude-project.com/es/collections/sudaderas/products/play-with-logo-hood-black,https://nude-project.com/cdn/shop/files/KARMA_HOOD_ASH_back_bdccb35e-4cc4-46a6-88fe-35cadd7e89f4_600x.jpg?v=1768211507
NUDE-PROJECT,Sin clasificar,Sudaderas,Playboy Print Hoodie Marshmallow,99.0,https://nude-project.com/es/collections/sudaderas/products/printed-aop-bunny-hoodie-color-1,https://nude-project.com/cdn/shop/files/3front_00a332be-a9fa-4943-a3a0-6ec120cab864_600x.jpg?v=1764937285
NUDE-PROJECT,Sin clasificar,Sudaderas,Playboy Print Hoodie Ash,99.0,https://nude-project.com/es/collections/sudaderas/products/printed-aop-bunny-hoodie-color-2,https://nude-project.com/cdn/shop/files/1front_9568babb-8347-4e2a-b914-116b8f0d83bc_600x.jpg?v=1764937302
NUDE-PROJECT,Sin clasificar,Sudaderas,Garden Hoodie Marshmallow,89.0,https://nude-project.com/es/collections/sudaderas/products/garden-hoodie-marshmallow,https://nude-project.com/cdn/shop/files/GardenHoodieMarshmallow_2_back_600x.jpg?v=1762257957
NUDE-PROJECT,Sin clasificar,Sudaderas,Sudadera Con Cremallera Global Soon Gris Oscuro,99.0,https://nude-project.com/es/collections/sudaderas/products/sudadera-con-cremallera-global-soon-gris-oscuro,https://nude-project.com/cdn/shop/files/GLOBAL_SOON_ZIP-UP_HOODIE_ASH_back_600x.jpg?v=1756141516
